29764605,2021-03-22 00:00:00,163.93,03/2021
29764605,2021-03-23 00:00:00,163.93,03/2021
29764605,2021-03-24 00:00:00,163.93,03/2021
29764605,2021-03-25 00:00:00,163.93,03/2021
29764605,2021-03-26 00:00:00,163.93,03/2021
29764605,2021-03-27 00:00:00,163.93,03/2021
29764605,2021-03-28 00:00:00,163.93,03/2021
29725722,2021-03-28 00:00:00,169.1,03/2021
29725722,2021-03-29 00:00:00,169.1,03/2021
29725722,2021-03-30 00:00:00,169.1,03/2021
29725722,2021-03-31 00:00:00,169.1,03/2021
29725722,2021-04-01 00:00:00,169.1,04/2021
29725722,2021-04-02 00:00:00,169.1,04/2021
29725722,2021-04-03 00:00:00,169.1,04/2021
29725722,2021-04-04 00:00:00,169.1,04/2021
30353982,2021-04-04 00:00:00,175.04,04/2021
30353982,2021-04-05 00:00:00,175.04,04/2021
30353982,2021-04-06 00:00:00,175.04,04/2021
30353982,2021-04-07 00:00:00,175.04,04/2021
30353982,2021-04-08 00:00:00,175.04,04/2021
30353982,2021-04-09 00:00:00,175.04,04/2021
30353982,2021-04-10 00:00:00,175.04,04/2021
30573076,2021-04-10 00:00:00,174.33,04/2021
30573076,2021-04-11 00:00:00,174.33,04/2021
30573076,2021-04-12 00:00:00,174.33,04/2021
30573076,2021-04-13 00:00:00,174.33,04/2021
30573076,2021-04-14 00:00:00,174.33,04/2021
30573076,2021-04-15 00:00:00,174.33,04/2021
30573076,2021-04-16 00:00:00,174.33,04/2021
30573076,2021-04-17 00:00:00,174.33,04/2021
30627570,2021-04-17 00:00:00,177.53,04/2021
30627570,2021-04-18 00:00:00,177.53,04/2021
30627570,2021-04-19 00:00:00,177.53,04/2021
30627570,2021-04-20 00:00:00,177.53,04/2021
30627570,2021-04-21 00:00:00,177.53,04/2021
30627570,2021-04-22 00:00:00,177.53,04/2021
30627570,2021-04-23 00:00:00,177.53,04/2021
30627570,2021-04-24 00:00:00,177.53,04/2021
30627570,2021-04-25 00:00:00,177.53,04/2021
30627570,2021-04-26 00:00:00,177.53,04/2021
30627570,2021-04-27 00:00:00,177.53,04/2021
30627570,2021-04-28 00:00:00,177.53,04/2021
30627570,2021-04-29 00:00:00,177.53,04/2021
30627570,2021-04-30 00:00:00,177.53,04/2021
30627570,2021-05-01 00:00:00,177.53,05/2021
30627570,2021-05-02 00:00:00,177.53,05/2021
30627570,2021-05-03 00:00:00,177.53,05/2021
30627570,2021-05-04 00:00:00,177.53,05/2021
30905584,2021-05-06 00:00:00,126.73,05/2021
30905584,2021-05-07 00:00:00,126.73,05/2021
30905584,2021-05-08 00:00:00,126.73,05/2021
30905584,2021-05-09 00:00:00,126.73,05/2021
30905584,2021-05-10 00:00:00,126.73,05/2021
30905584,2021-05-11 00:00:00,126.73,05/2021
30905584,2021-05-12 00:00:00,126.73,05/2021
30905584,2021-05-13 00:00:00,126.73,05/2021
30905584,2021-05-14 00:00:00,126.73,05/2021
30905584,2021-05-15 00:00:00,126.73,05/2021
30905584,2021-05-16 00:00:00,126.73,05/2021
30905584,2021-05-17 00:00:00,126.73,05/2021
30905584,2021-05-18 00:00:00,126.73,05/2021
30905584,2021-05-19 00:00:00,126.73,05/2021
30905584,2021-05-20 00:00:00,126.73,05/2021
30905584,2021-05-21 00:00:00,126.73,05/2021
30905584,2021-05-22 00:00:00,126.73,05/2021
30905584,2021-05-23 00:00:00,126.73,05/2021
30905584,2021-05-24 00:00:00,126.73,05/2021
30905584,2021-05-25 00:00:00,126.73,05/2021
30905584,2021-05-26 00:00:00,126.73,05/2021
30905584,2021-05-27 00:00:00,126.73,05/2021
30905584,2021-05-28 00:00:00,126.73,05/2021
30905584,2021-05-29 00:00:00,126.73,05/2021
30905584,2021-05-30 00:00:00,126.73,05/2021
30905584,2021-05-31 00:00:00,126.73,05/2021
30905584,2021-06-01 00:00:00,126.73,06/2021
30905584,2021-06-02 00:00:00,126.73,06/2021
30905584,2021-06-03 00:00:00,126.73,06/2021
30905584,2021-06-04 00:00:00,126.73,06/2021
30905584,2021-06-05 00:00:00,126.73,06/2021
30905584,2021-06-06 00:00:00,126.73,06/2021
30905584,2021-06-07 00:00:00,126.73,06/2021
30905584,2021-06-08 00:00:00,126.73,06/2021
31677686,2021-06-09 00:00:00,145.0,06/2021
31677686,2021-06-10 00:00:00,145.0,06/2021
31677686,2021-06-11 00:00:00,145.0,06/2021
31677686,2021-06-12 00:00:00,145.0,06/2021
31677686,2021-06-13 00:00:00,145.0,06/2021
31677686,2021-06-14 00:00:00,145.0,06/2021
31677686,2021-06-15 00:00:00,145.0,06/2021
31677686,2021-06-16 00:00:00,145.0,06/2021
30502479,2021-06-17 00:00:00,157.05,06/2021
30502479,2021-06-18 00:00:00,157.05,06/2021
30502479,2021-06-19 00:00:00,157.05,06/2021
30502479,2021-06-20 00:00:00,157.05,06/2021
30502479,2021-06-21 00:00:00,157.05,06/2021
30502479,2021-06-22 00:00:00,157.05,06/2021
30502479,2021-06-23 00:00:00,157.05,06/2021
30247918,2021-06-26 00:00:00,117.83,06/2021
30247918,2021-06-27 00:00:00,117.83,06/2021
30247918,2021-06-28 00:00:00,117.83,06/2021
30247918,2021-06-29 00:00:00,117.83,06/2021
30247918,2021-06-30 00:00:00,117.83,06/2021
30247918,2021-07-01 00:00:00,117.83,07/2021
30247918,2021-07-02 00:00:00,117.83,07/2021
30247918,2021-07-03 00:00:00,117.83,07/2021
30247918,2021-07-04 00:00:00,117.83,07/2021
30247918,2021-07-05 00:00:00,117.83,07/2021
30247918,2021-07-06 00:00:00,117.83,07/2021
30247918,2021-07-07 00:00:00,117.83,07/2021
30247918,2021-07-08 00:00:00,117.83,07/2021
30247918,2021-07-09 00:00:00,117.83,07/2021
30247918,2021-07-10 00:00:00,117.83,07/2021
30247918,2021-07-11 00:00:00,117.83,07/2021
