Date,Per Night,Month-Year
2021-07-22,121.76,07/2021
2021-07-23,121.76,07/2021
2021-07-24,121.76,07/2021
2021-07-25,121.76,07/2021
2021-07-30,172.12,07/2021
2021-07-31,172.12,07/2021
2021-08-01,172.12,08/2021
2021-08-02,172.12,08/2021
2021-08-03,172.12,08/2021
2021-08-04,172.12,08/2021
2021-08-05,172.12,08/2021
2021-08-06,172.12,08/2021
2021-11-20,168.04,11/2021
2021-11-21,168.04,11/2021
2021-11-22,168.04,11/2021
2021-11-23,168.04,11/2021
2021-11-24,168.04,11/2021
2021-12-20,163.73,12/2021
2021-12-21,163.73,12/2021
2021-12-22,163.73,12/2021
2021-12-23,163.73,12/2021
2021-12-26,175.53,12/2021
2021-12-27,175.53,12/2021
2021-12-28,175.53,12/2021
2021-12-29,175.53,12/2021
2021-12-30,175.53,12/2021
2021-12-31,175.53,12/2021
2022-01-01,175.53,01/2022
2022-02-02,186.38,02/2022
2022-02-03,186.38,02/2022
2022-02-04,186.38,02/2022
2022-02-05,186.38,02/2022
2022-02-06,186.38,02/2022
2022-02-07,186.38,02/2022
2022-02-08,186.38,02/2022
2022-02-09,186.38,02/2022
2022-02-10,186.38,02/2022
2022-02-11,186.38,02/2022
2022-02-12,186.38,02/2022
2022-02-13,186.38,02/2022
2022-02-14,186.38,02/2022
2022-02-15,186.38,02/2022
2022-02-16,186.38,02/2022
2022-02-17,186.38,02/2022
2022-02-18,186.38,02/2022
2022-02-19,186.38,02/2022
2022-02-20,186.38,02/2022
2022-02-21,186.38,02/2022
2022-02-22,186.38,02/2022
2022-02-23,186.38,02/2022
2022-02-24,186.38,02/2022
2022-02-25,186.38,02/2022
2022-02-26,186.38,02/2022
2022-02-27,186.38,02/2022
2022-03-05,135.49,03/2022
2022-03-06,135.49,03/2022
2022-03-07,135.49,03/2022
2022-03-08,135.49,03/2022
2022-03-09,135.49,03/2022
2022-03-10,135.49,03/2022
2022-03-11,135.49,03/2022
2022-03-12,135.49,03/2022
2022-03-13,135.49,03/2022
2022-03-14,135.49,03/2022
2022-03-15,135.49,03/2022
2022-03-16,135.49,03/2022
2022-03-17,135.49,03/2022
2022-03-18,135.49,03/2022
2022-03-19,135.49,03/2022
2022-03-20,135.49,03/2022
2022-03-21,135.49,03/2022
2022-03-22,135.49,03/2022
2022-03-23,135.49,03/2022
2022-03-24,135.49,03/2022
2022-03-25,135.49,03/2022
2022-03-26,135.49,03/2022
2022-03-27,135.49,03/2022
2022-03-28,135.49,03/2022
2022-03-29,135.49,03/2022
2022-03-30,135.49,03/2022
2022-03-31,135.49,03/2022
2022-04-01,135.49,04/2022
2022-04-02,135.49,04/2022
2022-04-05,248.07,04/2022
2022-04-06,248.07,04/2022
2022-04-07,248.07,04/2022
2022-04-13,155.26,04/2022
2022-04-14,155.26,04/2022
2022-04-15,155.26,04/2022
2022-04-16,155.26,04/2022
2022-04-20,179.5,04/2022
2022-04-21,179.5,04/2022
2022-04-22,179.5,04/2022
